crystal_id,Zeolite,SMILES,InchiKey,Ligand formula,Loading,Binding (SiO2),Binding (OSDA),Directivity (SiO2),Competition (SiO2),Competition (OSDA),Templating,SCScore,Volume (Angstrom3),Axis 1 (Angstrom),Axis 2 (Angstrom),In literature?,Germanosilicate composition?,Zeolite composition?,Zeotype composition?
138979154,PUN,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-0.7868335162264553,-28.32600658415239,22.623235852553744,13.668425671639572,190.58540954814788,25.00677059118752,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139165130,STW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,2,-0.4772814837639048,-14.318444512917145,18.576580705114104,13.977977704102118,204.59297161938312,24.730395125997273,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
138990851,OFF,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-0.19247158823044733,-3.4644885881480523,17.277026712930898,14.262787599635578,215.44692754415226,24.680162993149533,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
138999924,RTE,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-0.546437993224775,-13.114511837394602,16.314809640339845,13.908821194641249,205.7969042949057,24.404610602541656,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139026181,CGS,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-0.7271585075292984,-23.269072240937554,16.216074075849658,13.728100680336725,195.64234389136269,24.282692312774248,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139424797,STI,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,3,-1.917662537700088,-46.02390090480211,14.791067125480375,12.537596650165938,172.88751522749817,24.00218479459465,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
138564545,AFV,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,2,-3.0021404100951945,-45.03210615142792,16.026339869165387,11.453118777770829,173.87930998087242,23.90746106156211,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139154202,SFH,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,2,-0.6833510082032451,-21.867232262503844,10.45867503350144,13.771908179662779,197.04418386979648,23.84257842266592,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139057718,TON,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-0.5565533328298445,-26.71455997583254,10.120822363044011,13.89870585503618,192.1968561564677,23.40504257554087,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139069567,MFS,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-1.4343488027090583,-51.636556897526106,8.745008514620775,13.020910385156968,167.27485923477414,23.088610792080487,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
138936927,AFN,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-1.3160509945362242,-42.113631825159175,11.253163888999175,13.139208193329802,176.79778430714111,22.76558129650098,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
138752613,ETR,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-2.6552842143981503,-127.45364229111121,16.009684417152553,11.799974973467874,91.45777384118908,22.749070012830096,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139104068,ITH,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,2,-2.5814854736248045,-72.2815932614945,8.431751339588933,11.87377371424122,146.62982287080575,22.52791317979268,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
138406856,KFI,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,3,-3.0388803017411132,-97.24416965571562,13.316099542527851,11.416378886124912,121.66724647658465,22.510904634048977,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139693863,SGT,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,4,-3.402061895296655,-54.43299032474648,9.531236860205343,11.05319729256937,164.4784258075538,22.50678053241197,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
