crystal_id,Zeolite,SMILES,Templating,SCScore,Volume (Angstrom3),In literature?
139424391,MFI,C[N+]1(C)C[C@]23CCCC[C@@]2(C1)[C@H]1C=C[C@@H]3C1,19.741114465526373,2.5220974780114185,229.95200000000008,0.0
139391303,MFI,CC1(C)C[C@@H]2C[C@](C)(C1)C[N+]2(C)C,19.737879244513746,2.9577499628693387,206.48800000000008,0.0
139331222,MFI,CC1(C)[C@H]2CCC[N+](C)(C)[C@@H]1C2,19.727434436824318,2.3448348941743467,190.7680000000001,0.0
139392930,MFI,C[N+]1(C)CCCC[C@@H]2CCCC[C@H]21,19.722795774989507,1.845565615128718,205.69600000000003,0.0
139320736,MFI,C1CCC2(C1)CCC[NH2+]2,19.708078292875182,2.277045826271852,139.23200000000003,0.0
139253428,MFI,CC[N+]1(CC)CCC[C@@H]2CCCC[C@H]21,19.6994036032253,2.561259512436388,222.7680000000001,0.0
139403577,MFI,C[N+]1(C)CCC[C@H]2CC[C@@H]1C2,19.69792934836568,2.297954976586936,172.92000000000004,0.0
138409477,MFI,C[N+]1(C)C[C@@H]2CC[C@H]1[C@@H]1CC[C@H]2C1,19.695925565274333,2.8930868327366017,194.96000000000004,0.0
139210409,MFI,C[C@H]1CCC[C@H](C)[N+]12CCC[C@H]2C,19.688881861295773,2.8223669320731406,206.56800000000004,0.0
138818195,MFI,CC[C@@H]1CCCC[N@+]12CCC[C@H]2C,19.68685029775184,2.657154938655875,206.33600000000004,0.0
139100374,MFI,C[N+]1(C)C[C@@H]2[C@H](C1)[C@H]1[C@@H]3C=C[C@H]([C@@H]21)[C@H]1C[N+](C)(C)C[C@H]31,19.68385881343356,2.544583666601898,287.94400000000013,0.0
139269757,MFI,C1CC[C@H]2[C@@H](C1)CCC[N+]21CCCC1,19.67996256402189,1.9994345265190518,212.16800000000006,0.0
138758729,MFI,CC[N+](C)(C(C)C)C(C)C,19.677144029861225,1.2715592396088835,178.38400000000004,0.0
138608880,MFI,CC[N+]1(CC)CC[C@H]2CCCC[C@@H]2CC1,19.672995542891453,1.9957230791598903,239.25600000000009,0.0
139388988,MFI,C[N+]1(C)CC2CCC(CC2)C1,19.668236477253174,2.070396698015644,172.32800000000003,0.0
138938655,MFI,CC[N+]12C[N@]3C[N@@](C1)C[N@](C2)C3,19.66738986475225,1.7052277916660592,164.64800000000002,0.0
138753364,MFI,C[N+](C)(C)[C@@H]1C[C@@H]2C[C@H]1[C@H]1CCC[C@@H]21,19.65768039662732,2.4063396899286156,213.3520000000001,0.0
138933983,MFI,C[N+]1(C)CCC[C@@H]2CCCC[C@@H]21,19.651270493721587,1.7594123939804551,189.51200000000009,0.0
137370538,MFI,C[C@@H]1CCCC[N+]1(C)C,19.63745467801412,1.4331862548885057,150.42400000000004,1.0
139351119,MFI,C[N+]1(C)CC[C@H]2CCC[C@H]2C1,19.625514830404907,1.9055854748106524,173.24800000000005,0.0
138268948,MFI,C[N+]1(C)CC[C@H]2CCC[C@@H]2C1,19.62226300866561,2.0738996935038827,173.25600000000003,0.0
139347224,MFI,C[C@H]1CCC[C@H](C)[N+]12CCC[C@@H]2C,19.62039798595212,2.044631666568048,206.20800000000008,0.0
139199697,MFI,C[C@H]1CCCC[N@+]12CCC[C@H]2C,19.600558900629466,2.082132733053508,189.84000000000003,0.0
139363732,MFI,CC[N+]1(C)CCNCC1,19.60039089897312,1.6207471469921662,146.68000000000004,0.0
150581657,MFI,C[N+](C)(C)[C@]12CCC[C@@H]1CCC2,19.59622329155454,2.073775137102464,189.904,0.0
139320034,MFI,C[N+]1(C)C[C@@H]2[C@H](C1)[C@@H]1[C@H]2[C@@H]2C=C[C@H]1[C@H]1C[N+](C)(C)C[C@H]21,19.593001280710574,2.6646172638309924,288.1760000000001,0.0
139417973,MFI,C[C@H]1CCC[C@H](C)[N+]12CCCC2,19.58403113314468,2.7482335315793405,189.60000000000005,0.0
140180051,MFI,CN(C)[P+](C)(N(C)C)N(C)C,19.582824502736326,1.5028317075393702,189.94400000000005,0.0
139275200,MFI,CC[N+]1(CC)CCC[C@@H]2C[C@H]1C2(C)C,19.58008217086231,2.7917030937186085,223.89600000000004,0.0
139263335,MFI,CC[N+]1(CC)CCC[C@H]2C[C@@H]1C2(C)C,19.572541741142448,2.924930118230572,224.34400000000005,0.0
139240819,MFI,C[C@@H]1C[C@H]2C[N+](C)(C)C[C@]1(C)CC2(C)C,19.56977642671199,2.644225442339674,239.17600000000004,0.0
139326758,MFI,CC[N+]1(CC)[C@@H](C)CCC[C@H]1C,19.559065211066294,2.3468487888187557,200.01600000000005,0.0
139288522,MFI,C[N+]1(C)CC[C@@H]2CCC[C@H]2C1,19.55861676267796,1.9248622330617096,173.29600000000005,0.0
139425881,MFI,CC1(C)[C@@H]2CCC[N+](C)(C)[C@@H]1C2,19.553416861145056,2.26457121868805,190.8160000000001,0.0
