ppm,Intensity
-175.282,-1117370
-175.276,-1103924
-175.27,-1090230
-175.264,-1076270
-175.258,-1062034
-175.252,-1047512
-175.246,-1032690
-175.24,-1017556
-175.234,-1002104
-175.228,-986326
-175.222,-970214
-175.216,-953766
-175.21,-936978
-175.204,-919850
-175.197,-902384
-175.191,-884586
-175.185,-866462
-175.179,-848024
-175.173,-829282
-175.167,-810252
-175.161,-790952
-175.155,-771404
-175.149,-751628
-175.143,-731650
-175.137,-711498
-175.131,-691202
-175.125,-670794
-175.119,-650308
-175.113,-629776
-175.107,-609240
-175.101,-588732
-175.095,-568294
-175.089,-547964
-175.083,-527784
-175.077,-507792
-175.071,-488028
-175.065,-468532
-175.059,-449344
-175.053,-430500
-175.046,-412040
-175.04,-393998
-175.034,-376410
-175.028,-359308
-175.022,-342722
-175.016,-326684
-175.01,-311216
-175.004,-296346
-174.998,-282096
-174.992,-268486
-174.986,-255532
-174.98,-243250
-174.974,-231650
-174.968,-220744
-174.962,-210540
-174.956,-201038
-174.95,-192245.4
-174.944,-184159.6
-174.938,-176779.2
-174.932,-170099.8
-174.926,-164115.2
-174.92,-158817.4
-174.914,-154196.8
-174.908,-150242.4
-174.902,-146941.6
-174.896,-144280.6
-174.889,-142245.4
-174.883,-140820.2
-174.877,-139989
-174.871,-139735.4
-174.865,-140042.6
-174.859,-140893.6
-174.853,-142271.2
-174.847,-144159
-174.841,-146540
-174.835,-149398.4
-174.829,-152718
-174.823,-156483.8
-174.817,-160681.2
-174.811,-165296.2
-174.805,-170315.6
-174.799,-175727
-174.793,-181518.6
-174.787,-187679.6
-174.781,-194199.8
-174.775,-201070
-174.769,-208280
-174.763,-215824
-174.757,-223692
-174.751,-231880
-174.745,-240378
-174.738,-249182
-174.732,-258286
-174.726,-267682
-174.72,-277368
-174.714,-287336
-174.708,-297580
-174.702,-308094
-174.696,-318874
-174.69,-329910
-174.684,-341200
-174.678,-352732
-174.672,-364502
-174.666,-376498
-174.66,-388714
-174.654,-401138
-174.648,-413762
-174.642,-426574
-174.636,-439564
-174.63,-452716
-174.624,-466022
-174.618,-479466
-174.612,-493034
-174.606,-506712
-174.6,-520484
-174.594,-534336
-174.588,-548254
-174.581,-562220
-174.575,-576216
-174.569,-590232
-174.563,-604246
-174.557,-618244
-174.551,-632212
-174.545,-646130
-174.539,-659988
-174.533,-673766
-174.527,-687454
-174.521,-701034
-174.515,-714494
-174.509,-727822
-174.503,-741004
-174.497,-754030
-174.491,-766890
-174.485,-779570
-174.479,-792066
-174.473,-804364
-174.467,-816460
-174.461,-828344
-174.455,-840012
-174.449,-851456
-174.443,-862674
-174.437,-873658
-174.43,-884406
-174.424,-894914
-174.418,-905180
-174.412,-915200
-174.406,-924972
-174.4,-934496
-174.394,-943770
-174.388,-952794
-174.382,-961564
-174.376,-970082
-174.37,-978348
-174.364,-986360
-174.358,-994118
-174.352,-1001624
-174.346,-1008876
-174.34,-1015878
-174.334,-1022628
-174.328,-1029126
-174.322,-1035376
-174.316,-1041378
-174.31,-1047134
-174.304,-1052648
-174.298,-1057920
-174.292,-1062956
-174.286,-1067760
-174.28,-1072334
-174.273,-1076688
-174.267,-1080824
-174.261,-1084752
-174.255,-1088478
-174.249,-1092014
-174.243,-1095370
-174.237,-1098556
-174.231,-1101586
-174.225,-1104474
-174.219,-1107236
-174.213,-1109888
-174.207,-1112446
-174.201,-1114932
-174.195,-1117364
-174.189,-1119764
-174.183,-1122156
-174.177,-1124560
-174.171,-1127004
-174.165,-1129508
-174.159,-1132102
-174.153,-1134810
-174.147,-1137656
-174.141,-1140668
-174.135,-1143872
-174.129,-1147294
-174.122,-1150956
-174.116,-1154884
-174.11,-1159098
-174.104,-1163622
-174.098,-1168474
-174.092,-1173674
-174.086,-1179232
-174.08,-1185166
-174.074,-1191486
-174.068,-1198196
-174.062,-1205302
-174.056,-1212804
-174.05,-1220700
-174.044,-1228986
-174.038,-1237646
-174.032,-1246670
-174.026,-1256040
-174.02,-1265730
-174.014,-1275716
