ppm,intensity,intensity_shifted
533.62,-0.920169,1498.619747
533.606,-0.888407,1498.66739
533.592,-0.855262,1498.717107
533.577,-0.820787,1498.76882
533.563,-0.785047,1498.82243
533.548,-0.748112,1498.877832
533.534,-0.710064,1498.934904
533.519,-0.670987,1498.99352
533.505,-0.630978,1499.053533
533.49,-0.590137,1499.114795
533.476,-0.548573,1499.177141
533.462,-0.506398,1499.240403
533.447,-0.463731,1499.304404
533.433,-0.420698,1499.368953
533.418,-0.377424,1499.433864
533.404,-0.334041,1499.498939
533.389,-0.290684,1499.563974
533.375,-0.247489,1499.628767
533.36,-0.204592,1499.693112
533.346,-0.162132,1499.756802
533.332,-0.120247,1499.81963
533.317,-0.0790734,1499.88139
533.303,-0.0387445,1499.941883
533.288,0.000604687,1500.000907
533.274,0.0388477,1500.058272
533.259,0.0758578,1500.113787
533.245,0.111516,1500.167274
533.23,0.145708,1500.218562
533.216,0.178326,1500.267489
533.202,0.209267,1500.313901
533.187,0.23844,1500.35766
533.173,0.265758,1500.398637
533.158,0.291145,1500.436718
533.144,0.31453,1500.471795
533.129,0.335859,1500.503789
533.115,0.355081,1500.532622
533.1,0.37216,1500.55824
533.086,0.387065,1500.580598
533.072,0.399782,1500.599673
533.057,0.410303,1500.615455
533.043,0.418634,1500.627951
533.028,0.424787,1500.637181
533.014,0.428791,1500.643187
532.999,0.430683,1500.646025
532.985,0.430506,1500.645759
532.97,0.428319,1500.642479
532.956,0.424189,1500.636284
532.942,0.418191,1500.627287
532.927,0.410408,1500.615612
532.913,0.400934,1500.601401
532.898,0.389869,1500.584804
532.884,0.37732,1500.56598
532.869,0.3634,1500.5451
532.855,0.34823,1500.522345
532.84,0.331931,1500.497897
532.826,0.314634,1500.471951
532.812,0.296467,1500.444701
532.797,0.277566,1500.416349
532.783,0.258066,1500.387099
532.768,0.238102,1500.357153
532.754,0.217809,1500.326714
532.739,0.197322,1500.295983
532.725,0.176773,1500.26516
532.711,0.156292,1500.234438
532.696,0.136003,1500.204005
532.682,0.11603,1500.174045
532.667,0.0964875,1500.144731
532.653,0.0774852,1500.116228
532.638,0.0591266,1500.08869
532.624,0.0415086,1500.062263
532.609,0.024718,1500.037077
532.595,0.00883438,1500.013252
532.581,-0.00607422,1499.990889
532.566,-0.0199437,1499.970084
532.552,-0.032725,1499.950913
532.537,-0.0443789,1499.933432
532.523,-0.0548758,1499.917686
532.508,-0.0641953,1499.903707
532.494,-0.0723289,1499.891507
532.479,-0.0792805,1499.881079
532.465,-0.0850641,1499.872404
532.451,-0.0897016,1499.865448
532.436,-0.0932297,1499.860155
532.422,-0.0956922,1499.856462
532.407,-0.0971469,1499.85428
532.393,-0.0976555,1499.853517
532.378,-0.097293,1499.854061
532.364,-0.0961422,1499.855787
532.349,-0.0942945,1499.858558
532.335,-0.0918461,1499.862231
532.321,-0.0889039,1499.866644
532.306,-0.0855781,1499.871633
532.292,-0.0819859,1499.877021
532.277,-0.0782477,1499.882628
532.263,-0.0744883,1499.888268
532.248,-0.0708359,1499.893746
532.234,-0.0674203,1499.89887
532.219,-0.0643719,1499.903442
532.205,-0.0618227,1499.907266
532.191,-0.0599023,1499.910147
532.176,-0.0587414,1499.911888
532.162,-0.0584641,1499.912304
532.147,-0.0591969,1499.911205
532.133,-0.0610578,1499.908413
532.118,-0.0641617,1499.903757
532.104,-0.0686172,1499.897074
532.089,-0.0745273,1499.888209
532.075,-0.0819891,1499.877016
532.061,-0.0910875,1499.863369
532.046,-0.101903,1499.847146
532.032,-0.114507,1499.82824
532.017,-0.128963,1499.806556
532.003,-0.145317,1499.782025
531.988,-0.163616,1499.754576
531.974,-0.183887,1499.72417
531.959,-0.206154,1499.690769
531.945,-0.230423,1499.654366
531.931,-0.256697,1499.614955
531.916,-0.284961,1499.572559
531.902,-0.315194,1499.527209
531.887,-0.347361,1499.478959
531.873,-0.381419,1499.427872
531.858,-0.417313,1499.374031
531.844,-0.454982,1499.317527
531.829,-0.49435,1499.258475
531.815,-0.535335,1499.196998
531.801,-0.577848,1499.133228
531.786,-0.621789,1499.067317
531.772,-0.667053,1498.999421
531.757,-0.713527,1498.92971
531.743,-0.761095,1498.858358
531.728,-0.809632,1498.785552
531.714,-0.85901,1498.711485
531.699,-0.909098,1498.636353
531.685,-0.959765,1498.560353
531.671,-1.01087,1498.483695
531.656,-1.06228,1498.40658
531.642,-1.11386,1498.32921
531.627,-1.16548,1498.25178
531.613,-1.21699,1498.174515
531.598,-1.26826,1498.09761
531.584,-1.31918,1498.02123
531.569,-1.3696,1497.9456
531.555,-1.41942,1497.87087
531.541,-1.46852,1497.79722
531.526,-1.51678,1497.72483
531.512,-1.56411,1497.653835
531.497,-1.61041,1497.584385
531.483,-1.65559,1497.516615
531.468,-1.69958,1497.45063
531.454,-1.74231,1497.386535
531.439,-1.78371,1497.324435
531.425,-1.82374,1497.26439
531.411,-1.86234,1497.20649
531.396,-1.8995,1497.15075
531.382,-1.93518,1497.09723
531.367,-1.96938,1497.04593
531.353,-2.00209,1496.996865
531.338,-2.03332,1496.95002
531.324,-2.06309,1496.905365
531.309,-2.09142,1496.86287
531.295,-2.11834,1496.82249
531.281,-2.1439,1496.78415
531.266,-2.16816,1496.74776
531.252,-2.19116,1496.71326
531.237,-2.21298,1496.68053
531.223,-2.23369,1496.649465
531.208,-2.25337,1496.619945
531.194,-2.2721,1496.59185
531.179,-2.28997,1496.565045
531.165,-2.30709,1496.539365
531.151,-2.32353,1496.514705
531.136,-2.3394,1496.4909
531.122,-2.3548,1496.4678
531.107,-2.36984,1496.44524
531.093,-2.38461,1496.423085
531.078,-2.39921,1496.401185
531.064,-2.41375,1496.379375
531.05,-2.42832,1496.35752
531.035,-2.44302,1496.33547
531.021,-2.45794,1496.31309
531.006,-2.47316,1496.29026
530.992,-2.48877,1496.266845
530.977,-2.50485,1496.242725
530.963,-2.52146,1496.21781
530.948,-2.53867,1496.191995
530.934,-2.55653,1496.165205
530.92,-2.57511,1496.137335
530.905,-2.59443,1496.108355
530.891,-2.61453,1496.078205
530.876,-2.63545,1496.046825
530.862,-2.65719,1496.014215
530.847,-2.67976,1495.98036
530.833,-2.70317,1495.945245
530.818,-2.7274,1495.9089
530.804,-2.75244,1495.87134
530.79,-2.77826,1495.83261
530.775,-2.80482,1495.79277
530.761,-2.8321,1495.75185
530.746,-2.86002,1495.70997
530.732,-2.88854,1495.66719
530.717,-2.91759,1495.623615
530.703,-2.94709,1495.579365
530.688,-2.97698,1495.53453
530.674,-3.00716,1495.48926
530.66,-3.03755,1495.443675
530.645,-3.06805,1495.397925
530.631,-3.09856,1495.35216
530.616,-3.12899,1495.306515
530.602,-3.15922,1495.26117
530.587,-3.18916,1495.21626
530.573,-3.21869,1495.171965
530.558,-3.24771,1495.128435
530.544,-3.27611,1495.085835
530.53,-3.30377,1495.044345
530.515,-3.3306,1495.0041
530.501,-3.35648,1494.96528
530.486,-3.38133,1494.928005
530.472,-3.40502,1494.89247
530.457,-3.42748,1494.85878
530.443,-3.4486,1494.8271
530.428,-3.46831,1494.797535
530.414,-3.48652,1494.77022
530.4,-3.50315,1494.745275
530.385,-3.51813,1494.722805
530.371,-3.5314,1494.7029
530.356,-3.54291,1494.685635
530.342,-3.5526,1494.6711
530.327,-3.56042,1494.65937
530.313,-3.56635,1494.650475
530.298,-3.57034,1494.64449
530.284,-3.57239,1494.641415
530.27,-3.57248,1494.64128
530.255,-3.57059,1494.644115
530.241,-3.56673,1494.649905
530.226,-3.5609,1494.65865
530.212,-3.55312,1494.67032
530.197,-3.54341,1494.684885
530.183,-3.53179,1494.702315
530.168,-3.51829,1494.722565
530.154,-3.50296,1494.74556
530.14,-3.48583,1494.771255
530.125,-3.46695,1494.799575
530.111,-3.44638,1494.83043
530.096,-3.42417,1494.863745
530.082,-3.40038,1494.89943
530.067,-3.37506,1494.93741
530.053,-3.3483,1494.97755
530.038,-3.32014,1495.01979
530.024,-3.29067,1495.063995
530.01,-3.25994,1495.11009
529.995,-3.22803,1495.157955
529.981,-3.19502,1495.20747
529.966,-3.16096,1495.25856
529.952,-3.12592,1495.31112
529.937,-3.08998,1495.36503
529.923,-3.0532,1495.4202
529.908,-3.01565,1495.476525
529.894,-2.97738,1495.53393
529.88,-2.93846,1495.59231
529.865,-2.89895,1495.651575
529.851,-2.85889,1495.711665
529.836,-2.81835,1495.772475
529.822,-2.77736,1495.83396
529.807,-2.73597,1495.896045
529.793,-2.69423,1495.958655
529.778,-2.65218,1496.02173
529.764,-2.60984,1496.08524
529.75,-2.56726,1496.14911
529.735,-2.52446,1496.21331
529.721,-2.48147,1496.277795
529.706,-2.43832,1496.34252
529.692,-2.39501,1496.407485
529.677,-2.35159,1496.472615
529.663,-2.30806,1496.53791
529.648,-2.26444,1496.60334
529.634,-2.22074,1496.66889
529.62,-2.17699,1496.734515
529.605,-2.13319,1496.800215
529.591,-2.08936,1496.86596
529.576,-2.04552,1496.93172
529.562,-2.00168,1496.99748
529.547,-1.95785,1497.063225
529.533,-1.91406,1497.12891
529.518,-1.87032,1497.19452
529.504,-1.82665,1497.260025
529.49,-1.78309,1497.325365
529.475,-1.73965,1497.390525
529.461,-1.69637,1497.455445
529.446,-1.65328,1497.52008
529.432,-1.61042,1497.58437
529.417,-1.56783,1497.648255
529.403,-1.52555,1497.711675
529.389,-1.48362,1497.77457
529.374,-1.44212,1497.83682
529.36,-1.40108,1497.89838
529.345,-1.36057,1497.959145
529.331,-1.32065,1498.019025
529.316,-1.2814,1498.0779
529.302,-1.24288,1498.13568
529.287,-1.20516,1498.19226
529.273,-1.16833,1498.247505
529.259,-1.13247,1498.301295
529.244,-1.09765,1498.353525
529.23,-1.06397,1498.404045
529.215,-1.03151,1498.452735
529.201,-1.00035,1498.499475
529.186,-0.970587,1498.54412
529.172,-0.942305,1498.586543
529.157,-0.915592,1498.626612
529.143,-0.890533,1498.664201
529.129,-0.867209,1498.699187
529.114,-0.845705,1498.731443
529.1,-0.826095,1498.760858
529.085,-0.808455,1498.787318
529.071,-0.792852,1498.810722
529.056,-0.779352,1498.830972
529.042,-0.768012,1498.847982
529.027,-0.75888,1498.86168
529.013,-0.752002,1498.871997
528.999,-0.747415,1498.878878
528.984,-0.745145,1498.882283
528.97,-0.74521,1498.882185
528.955,-0.74762,1498.87857
528.941,-0.752371,1498.871444
528.926,-0.759455,1498.860818
528.912,-0.768848,1498.846728
528.897,-0.780513,1498.829231
528.883,-0.79441,1498.808385
528.869,-0.810481,1498.784279
528.854,-0.828655,1498.757018
528.84,-0.848855,1498.726718
528.825,-0.870988,1498.693518
528.811,-0.894951,1498.657574
528.796,-0.920627,1498.61906
528.782,-0.947893,1498.578161
528.767,-0.97661,1498.535085
528.753,-1.00663,1498.490055
528.739,-1.0378,1498.4433
528.724,-1.06994,1498.39509
528.71,-1.10289,1498.345665
528.695,-1.13645,1498.295325
528.681,-1.17044,1498.24434
528.666,-1.20465,1498.193025
528.652,-1.23888,1498.14168
528.637,-1.27292,1498.09062
528.623,-1.30655,1498.040175
528.609,-1.33956,1497.99066
528.594,-1.37173,1497.942405
528.58,-1.40283,1497.895755
528.565,-1.43264,1497.85104
528.551,-1.46095,1497.808575
528.536,-1.48753,1497.768705
528.522,-1.51217,1497.731745
528.507,-1.53467,1497.697995
528.493,-1.55481,1497.667785
528.479,-1.57239,1497.641415
528.464,-1.58724,1497.61914
528.45,-1.59916,1497.60126
528.435,-1.60799,1497.588015
528.421,-1.61356,1497.57966
528.406,-1.61573,1497.576405
528.392,-1.61436,1497.57846
528.377,-1.60932,1497.58602
528.363,-1.60051,1497.599235
528.349,-1.58784,1497.61824
528.334,-1.57123,1497.643155
528.32,-1.55061,1497.674085
528.305,-1.52595,1497.711075
528.291,-1.49721,1497.754185
528.276,-1.46439,1497.803415
528.262,-1.42748,1497.85878
528.247,-1.38653,1497.920205
528.233,-1.34157,1497.987645
528.219,-1.29265,1498.061025
528.204,-1.23987,1498.140195
528.19,-1.18331,1498.225035
528.175,-1.12308,1498.31538
528.161,-1.05932,1498.41102
528.146,-0.992169,1498.511747
528.132,-0.921787,1498.61732
528.117,-0.848348,1498.727478
528.103,-0.77204,1498.84194
528.089,-0.693065,1498.960403
528.074,-0.611637,1499.082545
528.06,-0.527977,1499.208035
528.045,-0.44232,1499.33652
528.031,-0.354911,1499.467634
528.016,-0.265999,1499.601002
528.002,-0.175841,1499.736239
