ppm,intensity,intensity_shifted
129.906,-7.00571,47.3378302
129.892,-6.87184,47.3887008
129.879,-6.74449,47.4370938
129.865,-6.62429,47.4827698
129.851,-6.51178,47.5255236
129.838,-6.40743,47.5651766
129.824,-6.31164,47.6015768
129.811,-6.22469,47.6346178
129.797,-6.14679,47.6642198
129.784,-6.07803,47.6903486
129.77,-6.01841,47.7130042
129.757,-5.96781,47.7322322
129.743,-5.92602,47.7481124
129.729,-5.89275,47.760755
129.716,-5.86756,47.7703272
129.702,-5.84994,47.7770228
129.689,-5.83929,47.7810698
129.675,-5.83494,47.7827228
129.662,-5.83612,47.7822744
129.648,-5.84199,47.7800438
129.635,-5.85168,47.7763616
129.621,-5.86423,47.7715926
129.607,-5.87869,47.7660978
129.594,-5.89406,47.7602572
129.58,-5.90931,47.7544622
129.567,-5.92347,47.7490814
129.553,-5.93552,47.7445024
129.54,-5.94451,47.7410862
129.526,-5.9495,47.73919
129.513,-5.94964,47.7391368
129.499,-5.94409,47.7412458
129.485,-5.93214,47.7457868
129.472,-5.91313,47.7530106
129.458,-5.88648,47.7631376
129.445,-5.85176,47.7763312
129.431,-5.80857,47.7927434
129.418,-5.75669,47.8124578
129.404,-5.69596,47.8355352
129.39,-5.62636,47.8619832
129.377,-5.54794,47.8917828
129.363,-5.46092,47.9248504
129.35,-5.36559,47.9610758
129.336,-5.26231,48.0003222
129.323,-5.15158,48.0423996
129.309,-5.03396,48.0870952
129.296,-4.91007,48.1341734
129.282,-4.78062,48.1833644
129.268,-4.64638,48.2343756
129.255,-4.50812,48.2869144
129.241,-4.36667,48.3406654
129.228,-4.22288,48.3953056
129.214,-4.07759,48.4505158
129.201,-3.93164,48.5059768
129.187,-3.78587,48.5613694
129.174,-3.64106,48.6163972
129.16,-3.49799,48.6707638
129.146,-3.35737,48.7241994
129.133,-3.21988,48.7764456
129.119,-3.08611,48.8272782
129.106,-2.95661,48.8764882
129.092,-2.83185,48.923897
129.079,-2.71226,48.9693412
129.065,-2.59814,49.0127068
129.052,-2.48979,49.0538798
129.038,-2.38737,49.0927994
129.024,-2.29103,49.1294086
129.011,-2.20082,49.1636884
128.997,-2.11673,49.1956426
128.984,-2.03873,49.2252826
128.97,-1.96669,49.2526578
128.957,-1.90047,49.2778214
128.943,-1.83989,49.3008418
128.93,-1.78472,49.3218064
128.916,-1.73471,49.3408102
128.902,-1.68961,49.3579482
128.889,-1.64912,49.3733344
128.875,-1.61297,49.3870714
128.862,-1.58086,49.3992732
128.848,-1.55251,49.4100462
128.835,-1.52762,49.4195044
128.821,-1.50592,49.4277504
128.807,-1.48716,49.4348792
128.794,-1.47105,49.441001
128.78,-1.45737,49.4461994
128.767,-1.44589,49.4505618
128.753,-1.43639,49.4541718
128.74,-1.42866,49.4571092
128.726,-1.4225,49.45945
128.713,-1.41774,49.4612588
128.699,-1.41419,49.4626078
128.685,-1.41168,49.4635616
128.672,-1.41006,49.4641772
128.658,-1.40915,49.464523
128.645,-1.40879,49.4646598
128.631,-1.40882,49.4646484
128.618,-1.40907,49.4645534
128.604,-1.40937,49.4644394
128.591,-1.40956,49.4643672
128.577,-1.40947,49.4644014
128.563,-1.40891,49.4646142
128.55,-1.40771,49.4650702
128.536,-1.40569,49.4658378
128.523,-1.40269,49.4669778
128.509,-1.39852,49.4685624
128.496,-1.39301,49.4706562
128.482,-1.38602,49.4733124
128.469,-1.37739,49.4765918
128.455,-1.36697,49.4805514
128.441,-1.35463,49.4852406
128.428,-1.34027,49.4906974
128.414,-1.32379,49.4969598
128.401,-1.30512,49.5040544
128.387,-1.28419,49.5120078
128.374,-1.26095,49.520839
128.36,-1.23539,49.5305518
128.346,-1.20751,49.5411462
128.333,-1.17731,49.5526222
128.319,-1.14481,49.5649722
128.306,-1.11007,49.5781734
128.292,-1.07313,49.5922106
128.279,-1.03404,49.6070648
128.265,-0.992875,49.6227075
128.252,-0.9497,49.639114
128.238,-0.904569,49.65626378
128.224,-0.857562,49.67412644
128.211,-0.808719,49.69268678
128.197,-0.758081,49.71192922
128.184,-0.705687,49.73183894
128.17,-0.65155,49.752411
128.157,-0.595688,49.77363856
128.143,-0.538075,49.7955315
128.13,-0.478687,49.81809894
128.116,-0.417488,49.84135456
128.102,-0.354419,49.86532078
128.089,-0.289419,49.89002078
128.075,-0.222406,49.91548572
128.062,-0.153306,49.94174372
128.048,-0.08205,49.968821
128.035,-0.00855,49.996751
128.021,0.06725,50.025555
128.008,0.1454,50.055252
127.994,0.225944,50.08585872
127.98,0.308881,50.11737478
127.967,0.394175,50.1497865
127.953,0.481775,50.1830745
127.94,0.571588,50.21720344
127.926,0.663456,50.25211328
127.913,0.757187,50.28773106
127.899,0.852556,50.32397128
127.885,0.949262,50.36071956
127.872,1.04697,50.3978486
127.858,1.14527,50.4352026
127.845,1.24373,50.4726174
127.831,1.34187,50.5099106
127.818,1.43914,50.5468732
127.804,1.53499,50.5832962
127.791,1.62882,50.6189516
127.777,1.72002,50.6536076
127.763,1.80793,50.6870134
127.75,1.89193,50.7189334
127.736,1.97137,50.7491206
127.723,2.04561,50.7773318
127.709,2.11406,50.8033428
127.696,2.17613,50.8269294
127.682,2.23129,50.8478902
127.669,2.27903,50.8660314
127.655,2.31894,50.8811972
127.641,2.35063,50.8932394
127.628,2.37379,50.9020402
127.614,2.38821,50.9075198
127.601,2.39374,50.9096212
127.587,2.39031,50.9083178
127.574,2.37795,50.903621
127.56,2.35676,50.8955688
127.547,2.32692,50.8842296
127.533,2.28869,50.8697022
127.519,2.24244,50.8521272
127.506,2.18856,50.8316528
127.492,2.12754,50.8084652
127.479,2.05991,50.7827658
127.465,1.98626,50.7547788
127.452,1.90722,50.7247436
127.438,1.82344,50.6929072
127.424,1.73562,50.6595356
127.411,1.64445,50.624891
127.397,1.55061,50.5892318
127.384,1.45481,50.5528278
127.37,1.35771,50.5159298
127.357,1.25997,50.4787886
127.343,1.16223,50.4416474
127.33,1.06504,50.4047152
127.316,0.968962,50.36820556
127.302,0.874487,50.33230506
127.289,0.782056,50.29718128
127.275,0.692056,50.26298128
127.262,0.604837,50.22983806
127.248,0.520656,50.19784928
127.235,0.439763,50.16710994
127.221,0.362312,50.13767856
127.208,0.288456,50.10961328
127.194,0.218262,50.08293956
127.18,0.151769,50.05767222
127.167,0.089,50.03382
127.153,0.0299187,50.01136911
127.14,-0.025525,49.9903005
127.126,-0.0774,49.970588
127.113,-0.125787,49.95220094
127.099,-0.1708,49.935096
127.086,-0.212519,49.91924278
127.072,-0.251062,49.90459644
127.058,-0.286531,49.89111822
127.045,-0.319037,49.87876594
127.031,-0.34865,49.867513
127.018,-0.375475,49.8573195
127.004,-0.399587,49.84815694
126.991,-0.421062,49.83999644
126.977,-0.439962,49.83281444
126.963,-0.45635,49.826587
126.95,-0.470281,49.82129322
126.936,-0.4818,49.816916
126.923,-0.490975,49.8134295
126.909,-0.497862,49.81081244
126.896,-0.502525,49.8090405
126.882,-0.505037,49.80808594
126.869,-0.505488,49.80791456
126.855,-0.503975,49.8084895
126.841,-0.500612,49.80976744
126.828,-0.495531,49.81169822
126.814,-0.488875,49.8142275
126.801,-0.4808,49.817296
126.787,-0.4715,49.82083
126.774,-0.461144,49.82476528
126.76,-0.449956,49.82901672
126.747,-0.438138,49.83350756
126.733,-0.425906,49.83815572
126.719,-0.413475,49.8428795
126.706,-0.401062,49.84759644
126.692,-0.388862,49.85223244
126.679,-0.377069,49.85671378
126.665,-0.365862,49.86097244
126.652,-0.355375,49.8649575
126.638,-0.345725,49.8686245
126.625,-0.337,49.87194
126.611,-0.329244,49.87488728
126.597,-0.322456,49.87746672
126.584,-0.3166,49.879692
126.57,-0.311587,49.88159694
126.557,-0.307281,49.88323322
126.543,-0.303494,49.88467228
126.53,-0.300019,49.88599278
126.516,-0.296562,49.88730644
126.502,-0.292831,49.88872422
126.489,-0.288469,49.89038178
126.475,-0.283094,49.89242428
126.462,-0.276306,49.89500372
126.448,-0.267687,49.89827894
126.435,-0.256806,49.90241372
126.421,-0.243219,49.90757678
126.408,-0.226512,49.91392544
126.394,-0.206256,49.92162272
126.38,-0.182081,49.93080922
126.367,-0.153625,49.9416225
126.353,-0.120556,49.95418872
126.34,-0.0826312,49.96860014
126.326,-0.039625,49.9849425
126.313,0.0086125,50.00327275
126.299,0.0621562,50.02361936
126.286,0.121031,50.04599178
126.272,0.185162,50.07036156
126.258,0.2544,50.096672
126.245,0.328544,50.12484672
126.231,0.407281,50.15476678
126.218,0.490237,50.18629006
126.204,0.576969,50.21924822
126.191,0.666956,50.25344328
126.177,0.759619,50.28865522
126.164,0.854319,50.32464122
126.15,0.950363,50.36113794
126.136,1.04701,50.3978638
126.123,1.1435,50.43453
126.109,1.23902,50.4708276
126.096,1.33279,50.5064602
126.082,1.42395,50.541101
126.069,1.51171,50.5744498
126.055,1.59523,50.6061874
126.041,1.67374,50.6360212
126.028,1.74647,50.6636586
126.014,1.8127,50.688826
126.001,1.87173,50.7112574
125.987,1.92293,50.7307134
125.974,1.96572,50.7469736
125.96,1.99956,50.7598328
125.947,2.02401,50.7691238
125.933,2.03866,50.7746908
125.919,2.04318,50.7764084
125.906,2.03731,50.7741778
125.892,2.02087,50.7679306
125.879,1.99372,50.7576136
125.865,1.95581,50.7432078
125.852,1.90715,50.724717
125.838,1.84779,50.7021602
125.825,1.77788,50.6755944
125.811,1.69759,50.6450842
125.797,1.60716,50.6107208
125.784,1.50685,50.572603
125.77,1.397,50.53086
125.757,1.27797,50.4856286
125.743,1.15014,50.4370532
125.73,1.01393,50.3852934
125.716,0.869812,50.33052856
125.703,0.718225,50.2729255
125.689,0.559669,50.21267422
125.675,0.394644,50.14996472
125.662,0.223637,50.08498206
125.648,0.047175,50.0179265
