crystal_id,Axis 1 (Angstrom),Axis 2 (Angstrom),Binding (SiO2),In literature?
138991187,8.423292385451955,6.261781398291656,-2.024847150440974,0.0
138987469,8.4232935501722,6.2618086899231145,-2.0434223225408634,0.0
150800861,8.326340750821734,5.644408663872706,-4.224418654827722,0.0
138749800,8.314858967766124,7.017388909244571,-2.116091946776945,0.0
139061364,8.444086925934359,7.084569918413572,-1.4770469453650892,0.0
139182180,8.025653575777191,5.9507323897850055,-3.1807130125204206,0.0
138759252,8.036511995540288,7.184008153901218,-2.5699447214151343,0.0
139057606,8.064693411364349,5.985630396307231,-3.2199595002073327,0.0
139186135,7.893840856015181,5.959988680185306,-4.900081260788106,0.0
139433191,8.025708054969407,5.950711509363861,-5.256124458603456,0.0
138709294,8.443217221871054,6.051484646656778,-5.385952828203043,0.0
137338225,8.435455246384402,6.09753059770445,-4.32661933867883,0.0
139127453,8.314853030096181,7.017465416524951,-5.33952268713242,0.0
139213617,8.051929099153938,6.603203841188109,-6.880015682660368,0.0
138884657,8.235551242495074,6.517759240371608,-6.671821477191666,0.0
139185291,8.462747716996503,5.740108058650223,-6.761847864999361,0.0
138568484,8.245683539345302,5.602498389269829,-7.515653827771372,0.0
139218292,8.21657714002287,6.087818559406383,-7.427543075505638,0.0
139170320,8.291944607409143,6.251775714308064,-6.8277274959404455,0.0
139147724,8.138974066247503,5.278029943146182,-7.764081425000504,0.0
139207298,8.48852413006943,6.052625878796376,-7.36053406384125,0.0
139186195,8.446464397425054,6.0355132182498785,-6.968286479943753,0.0
139105525,8.294695604873937,5.093913690063707,-7.818341329352286,0.0
138936972,8.016009366715892,6.481692100639353,-8.080410925087923,0.0
137359458,7.231220338125688,4.297691736338612,-7.925805307284808,0.0
139178880,8.4118262097525,6.426773520188236,-7.902751628541349,0.0
137324059,6.583340048184523,4.2098827811492745,-8.108439587728348,0.0
139287529,8.463124208359877,5.768122994383768,-8.271461458825348,0.0
139103392,8.294662921631513,5.093870802570142,-8.553377682011817,0.0
139359383,8.244334699282021,6.4991256195668425,-7.830410396098069,0.0
137371300,7.108146684918285,3.856290052630688,-9.337705146267242,0.0
138558526,8.144317330725396,6.441666981601622,-8.175999932568416,0.0
139358214,8.216564006849598,6.087836063719587,-8.741056777599658,0.0
139117386,5.9466942766083095,3.9780268648779202,-8.964868096293905,0.0
139085334,8.29956092258612,6.22211657280558,-8.661331403326749,0.0
139102495,7.802270630614113,6.874967060149549,-8.054810315421276,0.0
137321438,6.393818900785918,3.9416656344472414,-9.637265659266598,0.0
138563773,7.802271095321653,6.87502192458002,-8.002017631106035,0.0
146363148,8.158963269562344,5.490677894121349,-9.447650806928133,0.0
150789768,8.294651522364335,5.3469689649314365,-9.85995015007822,0.0
137354976,5.915676584174667,5.42714646507236,-8.527626434645692,0.0
139434274,8.443512094033844,5.745560870855103,-8.941543133004028,0.0
139288643,8.443566825221799,5.7456016307142725,-9.141709579283038,0.0
137335700,5.800371911093679,4.2816920342538385,-9.817188079200072,0.0
139114038,8.209978816827569,5.076901949567653,-9.596514764494305,0.0
144321254,7.558766697108548,5.53427628898012,-9.830550632110494,0.0
138814217,8.361808009164818,4.3187274081714735,-9.410236173367297,0.0
139150227,7.009298827143509,4.773705739626964,-9.784135104544998,0.0
137358523,7.583320197655553,4.502076254488147,-9.06614103363074,0.0
139615622,5.721621953004208,4.196396162284753,-9.649630915830931,0.0
139455732,8.192377105798835,5.708002186764573,-9.317672724280076,0.0
137366638,6.373083336463977,4.983581109970065,-9.093409733700948,0.0
139079731,7.6829852675850665,4.45275773420176,-9.533731789563573,0.0
139086222,7.1849625509376125,4.772816636646095,-10.18957673376901,0.0
139205246,8.189845051041141,5.736199931116418,-9.370126544125528,0.0
139189446,5.860298292765311,5.291562500666291,-9.660474337649728,0.0
139410728,8.240928025423003,6.2250593323903525,-10.107140906063552,0.0
