,x,y,system
145,6.892,545.0,CHA/AEI_calcined
146,6.905,548.0,CHA/AEI_calcined
147,6.918,546.0,CHA/AEI_calcined
148,6.931,547.0,CHA/AEI_calcined
149,6.944,545.0,CHA/AEI_calcined
150,6.957,541.0,CHA/AEI_calcined
151,6.97,536.0,CHA/AEI_calcined
152,6.983,538.0,CHA/AEI_calcined
153,6.996,546.0,CHA/AEI_calcined
154,7.009,540.0,CHA/AEI_calcined
155,7.022,537.0,CHA/AEI_calcined
156,7.035,535.0,CHA/AEI_calcined
157,7.048,535.0,CHA/AEI_calcined
158,7.061,547.0,CHA/AEI_calcined
159,7.074,542.0,CHA/AEI_calcined
160,7.087,541.0,CHA/AEI_calcined
161,7.1,543.0,CHA/AEI_calcined
162,7.113,540.0,CHA/AEI_calcined
163,7.126,540.0,CHA/AEI_calcined
164,7.139,538.0,CHA/AEI_calcined
165,7.152,535.0,CHA/AEI_calcined
166,7.165,541.0,CHA/AEI_calcined
167,7.178,546.0,CHA/AEI_calcined
168,7.191,538.0,CHA/AEI_calcined
169,7.204,535.0,CHA/AEI_calcined
170,7.217,536.0,CHA/AEI_calcined
171,7.23,533.0,CHA/AEI_calcined
172,7.243,537.0,CHA/AEI_calcined
173,7.256,540.0,CHA/AEI_calcined
174,7.269,537.0,CHA/AEI_calcined
175,7.282,535.0,CHA/AEI_calcined
176,7.295,541.0,CHA/AEI_calcined
177,7.308,540.0,CHA/AEI_calcined
178,7.321,535.0,CHA/AEI_calcined
179,7.334,539.0,CHA/AEI_calcined
180,7.347,544.0,CHA/AEI_calcined
181,7.36,543.0,CHA/AEI_calcined
182,7.373,545.0,CHA/AEI_calcined
183,7.386,546.0,CHA/AEI_calcined
184,7.399,534.0,CHA/AEI_calcined
185,7.412,530.0,CHA/AEI_calcined
186,7.425,539.0,CHA/AEI_calcined
187,7.438,541.0,CHA/AEI_calcined
188,7.451,535.0,CHA/AEI_calcined
189,7.464,534.0,CHA/AEI_calcined
190,7.477,535.0,CHA/AEI_calcined
191,7.49,531.0,CHA/AEI_calcined
192,7.503,531.0,CHA/AEI_calcined
193,7.516,526.0,CHA/AEI_calcined
194,7.529,535.0,CHA/AEI_calcined
195,7.542,531.0,CHA/AEI_calcined
196,7.555,535.0,CHA/AEI_calcined
197,7.568,530.0,CHA/AEI_calcined
198,7.581,532.0,CHA/AEI_calcined
199,7.594,534.0,CHA/AEI_calcined
200,7.607,532.0,CHA/AEI_calcined
201,7.62,533.0,CHA/AEI_calcined
202,7.633,538.0,CHA/AEI_calcined
203,7.646,544.0,CHA/AEI_calcined
204,7.659,535.0,CHA/AEI_calcined
205,7.672,533.0,CHA/AEI_calcined
206,7.685,539.0,CHA/AEI_calcined
207,7.698,523.0,CHA/AEI_calcined
208,7.711,535.0,CHA/AEI_calcined
209,7.724,525.0,CHA/AEI_calcined
210,7.737,536.0,CHA/AEI_calcined
211,7.75,531.0,CHA/AEI_calcined
212,7.763,540.0,CHA/AEI_calcined
213,7.776,539.0,CHA/AEI_calcined
214,7.789,535.0,CHA/AEI_calcined
215,7.802,532.0,CHA/AEI_calcined
216,7.815,533.0,CHA/AEI_calcined
217,7.828,527.0,CHA/AEI_calcined
218,7.841,517.0,CHA/AEI_calcined
219,7.854,535.0,CHA/AEI_calcined
220,7.867,534.0,CHA/AEI_calcined
221,7.88,527.0,CHA/AEI_calcined
222,7.893,531.0,CHA/AEI_calcined
223,7.906,526.0,CHA/AEI_calcined
