,Wavenumber,Absolute_R,osda
0,10.0,101.0580063,spiro-Co
1,10.01666699,100.8597488,spiro-Co
2,10.03333398,100.5922928,spiro-Co
3,10.050000979999998,100.3852463,spiro-Co
4,10.066667970000001,100.44801329999999,spiro-Co
5,10.08333496,100.2258148,spiro-Co
6,10.10000195,100.3021774,spiro-Co
7,10.11666895,100.1098938,spiro-Co
8,10.13333594,100.217247,spiro-Co
9,10.150002930000001,100.08442690000001,spiro-Co
10,10.16666992,100.05610659999999,spiro-Co
11,10.18333691,100.2909927,spiro-Co
12,10.20000391,100.2801056,spiro-Co
13,10.216670899999999,100.19970699999999,spiro-Co
14,10.233337890000001,100.2847824,spiro-Co
15,10.25000488,100.30643459999999,spiro-Co
16,10.26667188,100.199173,spiro-Co
17,10.28333887,100.3190842,spiro-Co
18,10.300005859999999,100.1543884,spiro-Co
19,10.316672850000002,100.1747742,spiro-Co
20,10.33333984,100.1348572,spiro-Co
21,10.35000684,100.18048859999999,spiro-Co
22,10.36667383,100.2246628,spiro-Co
23,10.383340819999999,100.0141068,spiro-Co
24,10.40000781,100.234314,spiro-Co
25,10.416674800000001,100.04120640000001,spiro-Co
26,10.4333418,99.98554229999999,spiro-Co
27,10.45000879,100.1427917,spiro-Co
28,10.46667578,99.95402527,spiro-Co
29,10.483342770000002,100.3864136,spiro-Co
30,10.50000977,100.2862396,spiro-Co
31,10.516676760000001,100.1967468,spiro-Co
32,10.53334375,100.3542557,spiro-Co
33,10.55001074,100.47893520000001,spiro-Co
34,10.566677729999999,100.4825516,spiro-Co
35,10.583344729999999,100.2089691,spiro-Co
36,10.600011720000001,100.5280533,spiro-Co
37,10.61667871,100.35562900000001,spiro-Co
38,10.6333457,100.412796,spiro-Co
39,10.6500127,100.4437637,spiro-Co
40,10.66667969,100.5036392,spiro-Co
41,10.683346680000001,100.65076450000001,spiro-Co
42,10.70001367,100.42630770000001,spiro-Co
43,10.71668066,100.3961258,spiro-Co
44,10.73334766,100.5713425,spiro-Co
45,10.750014649999999,100.5593796,spiro-Co
46,10.76668164,100.6497345,spiro-Co
47,10.78334863,100.57064059999999,spiro-Co
48,10.80001563,100.4346848,spiro-Co
49,10.81668262,100.60833740000001,spiro-Co
50,10.833349609999999,100.35372159999999,spiro-Co
51,10.8500166,100.4656372,spiro-Co
52,10.866683590000001,100.694252,spiro-Co
53,10.88335059,100.6219177,spiro-Co
54,10.90001758,100.60167690000002,spiro-Co
55,10.91668457,100.5204086,spiro-Co
56,10.933351559999998,100.61704250000001,spiro-Co
57,10.950018550000001,100.5267258,spiro-Co
58,10.96668555,100.6074066,spiro-Co
59,10.98335254,100.6969223,spiro-Co
60,11.00001953,100.664711,spiro-Co
61,11.01668652,100.5753555,spiro-Co
62,11.03335352,100.6480026,spiro-Co
63,11.05002051,100.67736049999999,spiro-Co
64,11.0666875,100.6391373,spiro-Co
65,11.08335547,100.769577,spiro-Co
66,11.10002246,100.6365051,spiro-Co
67,11.116689449999999,100.3467941,spiro-Co
68,11.133356449999999,100.7603302,spiro-Co
69,11.15002344,100.5828934,spiro-Co
70,11.166690430000001,100.7340012,spiro-Co
71,11.18335742,100.5934906,spiro-Co
72,11.20002441,100.5335922,spiro-Co
73,11.21669141,100.3460236,spiro-Co
74,11.233358399999998,100.6128693,spiro-Co
75,11.250025390000001,100.6090622,spiro-Co
76,11.26669238,100.79660030000001,spiro-Co
77,11.28335938,100.5668335,spiro-Co
78,11.30002637,100.719841,spiro-Co
79,11.316693359999999,100.2511978,spiro-Co
80,11.333360350000001,100.5381622,spiro-Co
81,11.35002734,100.6330566,spiro-Co
82,11.36669434,100.5958252,spiro-Co
83,11.38336133,100.5203552,spiro-Co
84,11.400028319999999,100.6630402,spiro-Co
85,11.41669531,100.69367220000001,spiro-Co
86,11.4333623,100.9761963,spiro-Co
87,11.4500293,100.557724,spiro-Co
88,11.46669629,100.5264893,spiro-Co
89,11.483363279999999,100.734848,spiro-Co
90,11.500030270000002,100.5990143,spiro-Co
91,11.51669727,100.76138309999999,spiro-Co
92,11.53336426,100.6396484,spiro-Co
93,11.55003125,100.6522751,spiro-Co
94,11.56669824,100.7849197,spiro-Co
95,11.58336523,100.8300247,spiro-Co
96,11.600032229999998,100.5221863,spiro-Co
97,11.616699220000001,100.6799927,spiro-Co
98,11.63336621,100.8281479,spiro-Co
99,11.6500332,100.7214737,spiro-Co
100,11.6667002,100.8174667,spiro-Co
101,11.68336719,100.6879349,spiro-Co
102,11.700034180000001,100.928978,spiro-Co
103,11.71670117,101.0046005,spiro-Co
104,11.73336816,100.81913759999999,spiro-Co
105,11.75003516,100.8779602,spiro-Co
106,11.766702149999999,100.89825440000001,spiro-Co
107,11.783369140000001,100.5029755,spiro-Co
108,11.80003613,100.7779236,spiro-Co
109,11.81670313,100.9885406,spiro-Co
110,11.83337012,100.7647858,spiro-Co
111,11.850037109999999,100.6972122,spiro-Co
112,11.866704100000002,100.49951170000001,spiro-Co
113,11.88337109,100.8535843,spiro-Co
114,11.90003809,100.7332535,spiro-Co
115,11.91670508,100.9220123,spiro-Co
116,11.933372069999999,100.57148740000001,spiro-Co
117,11.95003906,100.6316605,spiro-Co
118,11.96670605,100.8706207,spiro-Co
119,11.98337305,100.83766170000001,spiro-Co
120,12.00004004,100.8547668,spiro-Co
121,12.01670703,100.9725494,spiro-Co
122,12.033374020000002,100.7520065,spiro-Co
123,12.05004102,100.91168979999999,spiro-Co
124,12.066708010000001,101.0424271,spiro-Co
125,12.083375,100.95875550000001,spiro-Co
126,12.10004199,101.1128311,spiro-Co
127,12.11670898,100.6935425,spiro-Co
128,12.133375979999999,100.7997589,spiro-Co
129,12.150042970000001,100.859581,spiro-Co
130,12.16670996,101.1401062,spiro-Co
131,12.18337695,100.917038,spiro-Co
132,12.20004395,100.6522141,spiro-Co
133,12.21671094,100.94671629999999,spiro-Co
134,12.233377930000001,101.3382416,spiro-Co
135,12.25004492,100.8339996,spiro-Co
136,12.26671191,101.1856155,spiro-Co
137,12.28337891,101.02389529999999,spiro-Co
138,12.300045899999999,100.9002991,spiro-Co
139,12.316712890000002,101.1612778,spiro-Co
140,12.33337988,101.0451126,spiro-Co
141,12.35004688,100.960022,spiro-Co
142,12.36671387,101.0408325,spiro-Co
143,12.383380859999999,101.1718521,spiro-Co
144,12.40004785,101.05517579999999,spiro-Co
145,12.416714840000001,101.0176849,spiro-Co
146,12.43338184,101.1509171,spiro-Co
147,12.45004883,100.93717190000001,spiro-Co
148,12.46671582,100.91617579999999,spiro-Co
149,12.483382809999998,100.9707031,spiro-Co
150,12.500049800000001,100.92063900000001,spiro-Co
151,12.5167168,98.07358551,spiro-Co
152,12.53338379,98.21482086,spiro-Co
153,12.55005078,98.19116211,spiro-Co
154,12.56671777,98.17694855,spiro-Co
155,12.58338477,98.24853516,spiro-Co
156,12.60005176,98.1687088,spiro-Co
157,12.61671875,98.28327179,spiro-Co
158,12.63338574,98.27568054,spiro-Co
159,12.650052729999999,98.20851135,spiro-Co
160,12.666719729999999,98.46035004,spiro-Co
161,12.68338672,98.34269714,spiro-Co
162,12.70005371,98.36792755,spiro-Co
163,12.7167207,98.35186768,spiro-Co
164,12.7333877,98.485466,spiro-Co
165,12.75005469,98.46141815,spiro-Co
166,12.76672168,98.70433044,spiro-Co
167,12.78338867,98.79515839,spiro-Co
168,12.80005566,98.70072174,spiro-Co
169,12.81672266,98.77961731,spiro-Co
170,12.833389649999999,98.80112457,spiro-Co
171,12.85005664,98.71620178,spiro-Co
172,12.866723630000001,98.74160004,spiro-Co
173,12.88339063,98.85163879,spiro-Co
174,12.90005762,98.8249054,spiro-Co
175,12.91672461,98.81417847,spiro-Co
176,12.9333916,98.82223511,spiro-Co
177,12.950058590000001,98.76161194,spiro-Co
178,12.96672559,98.86116791,spiro-Co
179,12.98339258,98.88635254,spiro-Co
180,13.00005957,98.87776184,spiro-Co
181,13.016726559999999,98.81034851,spiro-Co
182,13.033393550000001,98.90245819,spiro-Co
183,13.05006055,98.80570984,spiro-Co
184,13.06672754,98.88128662,spiro-Co
185,13.08339453,98.93085479999999,spiro-Co
186,13.10006152,98.8631134,spiro-Co
187,13.11672852,98.97492218,spiro-Co
188,13.13339551,98.91437531,spiro-Co
189,13.1500625,98.95816040000001,spiro-Co
190,13.16672949,98.94883728,spiro-Co
191,13.183396479999999,98.92232513,spiro-Co
192,13.200063479999999,99.02200317,spiro-Co
193,13.21673047,99.06434631,spiro-Co
194,13.23339746,98.91862488,spiro-Co
195,13.25006445,98.99356079,spiro-Co
196,13.26673145,98.97802734,spiro-Co
197,13.283398440000001,98.99974823,spiro-Co
198,13.30006543,99.00938416,spiro-Co
199,13.316732420000001,98.93187714,spiro-Co
200,13.33339941,98.97304535,spiro-Co
201,13.35006641,99.0233078,spiro-Co
202,13.3667334,98.95270538,spiro-Co
203,13.38340039,98.99996948,spiro-Co
204,13.400067380000001,99.03415679999999,spiro-Co
205,13.41673438,99.04336548,spiro-Co
206,13.43340137,98.98123932,spiro-Co
207,13.45006836,99.02050018,spiro-Co
208,13.46673535,99.06478119,spiro-Co
209,13.483402340000001,98.98806763,spiro-Co
210,13.50006934,99.02446747,spiro-Co
211,13.516736330000002,99.01495361,spiro-Co
212,13.53340332,99.03265381,spiro-Co
213,13.550070309999999,99.04485321,spiro-Co
214,13.566737300000002,99.08378601,spiro-Co
215,13.5834043,99.03934479,spiro-Co
216,13.600072269999998,99.08039093,spiro-Co
217,13.616739260000001,99.02980804,spiro-Co
218,13.63340625,99.03697968,spiro-Co
219,13.65007324,99.09078217,spiro-Co
220,13.666740230000002,99.07829285,spiro-Co
221,13.68340723,99.06006622,spiro-Co
222,13.70007422,99.03105164,spiro-Co
223,13.71674121,99.03426361,spiro-Co
224,13.7334082,99.02484894,spiro-Co
225,13.7500752,99.03755188,spiro-Co
226,13.76674219,99.08813477,spiro-Co
227,13.783409180000001,99.11859131,spiro-Co
228,13.800076169999999,99.05065155,spiro-Co
229,13.81674316,99.02505493,spiro-Co
230,13.83341016,99.09412384,spiro-Co
231,13.850077149999999,99.09356689,spiro-Co
232,13.866744140000002,99.04121399,spiro-Co
233,13.88341113,99.03500366,spiro-Co
234,13.900078130000002,99.03826904,spiro-Co
235,13.91674512,99.08791351,spiro-Co
236,13.933412109999999,99.0358963,spiro-Co
237,13.9500791,99.04302216,spiro-Co
238,13.966746090000001,99.092659,spiro-Co
239,13.98341309,99.04386902,spiro-Co
240,14.000080080000002,99.03900909,spiro-Co
241,14.01674707,99.00373077,spiro-Co
242,14.033414059999998,99.04748535,spiro-Co
243,14.050081050000001,98.99272156,spiro-Co
244,14.06674805,99.03694153,spiro-Co
245,14.08341504,99.02422333,spiro-Co
246,14.100082030000001,98.9858551,spiro-Co
247,14.116749019999999,99.00512695,spiro-Co
248,14.133416019999999,99.02590942,spiro-Co
249,14.15008301,99.00256348,spiro-Co
250,14.16675,98.98114777,spiro-Co
251,14.18341699,99.02891541,spiro-Co
252,14.20008398,99.01461029,spiro-Co
253,14.21675098,98.97978973,spiro-Co
254,14.233417969999998,99.02188873,spiro-Co
255,14.25008496,98.98582458,spiro-Co
256,14.26675195,99.0079422,spiro-Co
257,14.28341895,98.97293091,spiro-Co
258,14.30008594,99.01377869,spiro-Co
259,14.31675293,98.98994446,spiro-Co
260,14.333419919999999,98.93171692,spiro-Co
261,14.35008691,98.94538879,spiro-Co
262,14.36675391,98.9451828,spiro-Co
263,14.383420899999999,98.96617889,spiro-Co
264,14.40008789,98.9234314,spiro-Co
265,14.416754880000001,98.94050598,spiro-Co
266,14.433421880000001,98.91516876,spiro-Co
267,14.45008887,98.92692566,spiro-Co
268,14.46675586,98.94297791,spiro-Co
269,14.48342285,98.94616699,spiro-Co
270,14.500089840000001,98.91038513,spiro-Co
271,14.51675684,98.97698975,spiro-Co
272,14.533423830000002,98.90977478,spiro-Co
273,14.55009082,98.92556763,spiro-Co
274,14.566757809999999,98.91159821,spiro-Co
275,14.583424800000001,98.91944885,spiro-Co
276,14.6000918,98.84919739,spiro-Co
277,14.61675879,98.89723206,spiro-Co
278,14.633425780000001,98.86598206,spiro-Co
279,14.650092769999999,98.8624649,spiro-Co
280,14.666759769999999,98.90068817,spiro-Co
